[Mon Jul 11 23:32:16.613809 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP Fatal error:  Class 'App\\Http\\Controllers\\DB' not found in /home/alex/Hosts/laravel.local/app/Http/Controllers/PostController.php on line 25, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613858 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP Stack trace:, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613873 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   1. {main}() /home/alex/Hosts/laravel.local/public/index.php:0, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613883 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   2. Illuminate\\Foundation\\Http\\Kernel->handle() /home/alex/Hosts/laravel.local/public/index.php:54, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613891 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   3. Illuminate\\Foundation\\Http\\Kernel->sendRequestThroughRouter() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:99, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613899 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   4. Illuminate\\Pipeline\\Pipeline->then() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:132, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613906 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   5. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613914 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   6. Illuminate\\Routing\\Pipeline->Illuminate\\Routing\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613920 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   7. call_user_func() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613928 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   8. Illuminate\\Pipeline\\Pipeline->Illuminate\\Pipeline\\{closure}() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32, referer: http://laravel.local/
[Mon Jul 11 23:32:16.613934 2016] [:error] [pid 13582] [client 127.0.0.1:53790] PHP   9. call_user_func_array() /home/alex/Hosts/laravel.local/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136, referer: http://laravel.local/
